,oci,street,street_from,street_to,oci_desc,COLLISION_DATE,COLLISION_TIME,PRIMARY_RD,SECONDARY_RD,CHP_BEAT_TYPE,WEATHER_1,COLLISION_SEVERITY,PRIMARY_COLL_FACTOR,PCF_VIOL_CATEGORY,LIGHTING,ROAD_SURFACE,ROAD_COND_1
5327,51,DEL MAR HEIGHTS RD,EL CAM REAL,SIGNATURE PT,Fair,20140721,2010,DEL MAR HEIGHTS RD,EL CAMINO REAL RD,0,B,4,A,12,C,A,H
5328,51.5,CARMEL MTN RD,SORRENTO VALLEY RD,TORREY VIEW CT,Fair,20140724,2257,CARMEL MOUNTAIN RD,SORRENTO VALLEY RD,0,A,4,A,21,C,B,B
5329,61.51,MISSION VILLAGE DR,RONDA AV,SHAWN AV,Fair,20140729,0534,MISSION VILLAGE DR,RONDA RD,0,A,3,A,03,C,A,B
5330,54.69,LA JOLLA SHORES DR,LA JOLLA SHORES LN,HORIZON WY,Fair,20140731,1756,LA JOLLA SHORES DR,LA JOLLA SHORES LN,0,A,3,A,08,A,A,H
5331,28.43,MARKET ST,16TH ST,17TH ST,Poor,20140801,1415,MARKET ST,16TH ST,0,A,3,A,09,A,A,H
5332,51,GARNET AV,INGRAHAM ST,JEWELL ST,Fair,20140718,2135,GARNET AV,JEWELL ST,0,A,4,A,- ,C,A,H
5333,100,EUCLID AV,EUCLID CT,LAUREL ST,Good,20140726,2135,EUCLID AV,EUCLID CT,0,A,4,A,08,C,A,H
5334,84.88,EL CAJON BL,70TH ST,71ST ST,Good,20140707,1105,EL CAJON BL,70TH ST,0,A,4,A,03,A,A,H
5335,69,UNIVERSITY AV,39TH ST,40TH ST,Fair,20140729,1338,UNIVERSITY AV,39TH ST,0,A,4,A,08,A,A,H
5336,83.18,40TH ST,ORANGE AV,EL CAJON BL,Good,20140803,0635,40TH ST,EL CAJON BL,0,A,4,A,08,A,A,H
5337,35.63,MARKET ST,07TH AV,08TH AV,Poor,20140802,1519,MARKET ST,07TH AV,0,C,4,A,17,A,B,H
5338,34.9,LORING ST,PENDLETON ST,QUINCY ST,Poor,20140801,1314,LORING ST,PENDLETON ST,0,A,3,A,08,A,A,H
5339,45.57,LAKE MURRAY BL,LAKE ARROWHEAD DR,LYNNHAVEN LN,Fair,20140802,1652,LAKE MURRAY,LAKE ARROWHEAD,0,C,3,A,08,A,B,H
5340,79.96,AMBROSIA DR,SANTO RD,REFLECTION DR,Good,20140802,0400,AMBROSIA DR,SANTO RD,0,A,3,A,08,C,A,H
5341,49.4,MADRA AV,ELMHURST DR,NORMAN LN,Fair,20140726,1730,MADRA AV,NORMAN LN,0,B,3,A,08,A,A,H
5342,42,AERO DR,RUFFIN RD,WEST CANYON AV,Fair,20140730,1149,AERO DR,RUFFIN RD,0,A,3,A,10,A,A,H
5343,70,CABLE ST,DEL MONTE AV,NARRAGANSETT AV,Good,20140719,2117,CABLE ST,NARRAGANSETT AV,0,A,2,A,11,C,A,H
5344,54.21,UNIVERSITY AV,OREGON ST,PERSHING AV,Fair,20140723,2215,UNIVERSITY AV,OREGON ST,0,A,2,A,09,C,A,H
5345,51,SOLEDAD MTN RD,FELSPAR ST,BERYL WY,Fair,20140727,1025,SOLEDAD MOUNTAIN RD,FELSPAR ST,0,C,3,A,03,A,D,G
5346,32.37,GRAND AV,LEE AV,BOND ST,Poor,20140727,0059,GRAND AV,BOND,0,B,3,A,11,D,A,H
5347,39,BERNARDO PLAZA DR,BERNARDO CENTER DR,END,Poor,20140804,0855,BERNARDO PLAZA DR,BERNARDO CENTER DR,0,A,3,A,09,A,A,H
5348,85.01,TRADE ST,CAM SANTA FE,CARROLL WY,Good,20140804,1540,TRADE ST,CAMINO SANTA FE,0,A,4,A,09,A,A,H
5349,46.73,70TH ST,ALVARADO RD,I-8 EB OFF RA,Fair,20140804,1050,70TH ST,ALVARADO RD,0,A,4,A,12,A,A,H
5350,47.44,RIO SAN DIEGO DR,QUALCOMM WY,RIO BONITO WY,Fair,20140804,1442,RIO SAN DIEGO,QUALCOMM WY,0,A,3,A,12,A,A,H
5351,58.64,E SAN YSIDRO BL,EAST PARK AV,PEPPER (SB) DR,Fair,20140802,1620,SAN YSIDRO BL,E PARK AV,0,B,4,A,09,A,B,H
5352,75,LOGAN AV,S EUCLID AV,S EUCLID (E FTG) AV,Good,20140801,0938,LOGAN AV,EUCLID,0,A,4,A,09,A,A,H
5353,53.24,UNIVERSITY AV,WINONA AV,50TH ST,Fair,20140802,0947,UNIVERSITY AV,WINONA AV,0,A,4,A,12,A,A,H
5354,30.11,32ND ST,IMPERIAL AV,L ST,Poor,20140801,1743,32ND ST,IMPERIAL AV,0,A,3,A,09,A,A,H
5355,55.97,PACIFIC HY,W PALM ST,SASSAFRAS ST,Fair,20140801,1230,PACIFIC HY,W PALM ST,0,A,4,A,12,A,A,H
5356,40.45,LINDA VISTA RD,STALMER ST,AERO DR,Fair,20140802,2001,LINDA VISTA RD,AERO DR,0,B,3,A,03,D,A,H
5357,62.41,PASEO DE LAS AMERICAS,SIEMPRE VIVA RD,MARCONI DR,Fair,20140805,1131,PASEO DE LAS AMERICAS,SIEMPRE VIVA,0,A,3,A,17,A,A,H
5358,45.13,PROSPECT PL,COAST BL,CAVE ST,Fair,20140808,0827,PROSPECT PL,CAV ST,0,B,4,A,08,A,A,H
5359,69.86,FRIARS RD,FENTON PY,NORTHSIDE DR,Fair,20140807,2310,FRIARS RD,NORTHSIDE DR,0,A,4,A,04,C,A,H
5360,53.32,RUFFIN RD,AERO DR,CALLE FORTUNADA,Fair,20140807,1142,RUFFIN RD,AERO DR,0,A,4,A,09,A,A,H
5361,84.52,BRIARWOOD RD,ALSACIA ST,GOODE ST,Good,20140810,0530,S BRIARWOOD,GOODE ST,0,A,4,A,04,B,A,H
5362,77.19,E SAN YSIDRO BL,CAM DE LA PLAZA,RAIL CT,Good,20140808,2305,EAST SAN YSIDRO BL,CAMINO DE LA PLAZA,0,A,3,A,03,D,A,-
5363,85.23,HILLTOP DR,44TH ST,45TH ST,Good,20140810,1137,HILLTOP DR,45TH ST,0,A,4,A,09,A,A,H
5364,51,LA JOLLA VILLAGE DR,GENESEE AV,EXECUTIVE WY,Fair,20140807,0334,LA JOLLA VILLAGE DR,EXECUTIVE WY,0,A,4,A,03,C,A,H
5365,64.23,RANCHO PENASQUITOS BL,AZUAGA ST,CARMEL MTN RD,Fair,20140812,0945,RANCHO PENASQUITOS BL,CARMEL MOUNTAIN RD,0,A,3,A,04,A,A,H
5366,57.66,PEARL ST,OLIVETAS AV,LA JOLLA BL,Fair,20140808,1910,PEARL ST,LA JOLLA BL,0,A,4,A,03,A,A,H
5367,40.96,MIRAMAR RD,CLAYTON DR,PADGETT ST,Fair,20140811,1720,MIRAMAR RD,CLAYTON DR,0,B,4,A,04,A,A,H
5368,69,CARMEL COUNTRY RD,SAGAMORE WY,DEL MAR MESA RD,Fair,20140809,0850,CARMEL COUNTRY RD,SAGAMORE WY,0,B,3,A,03,A,A,H
5369,81.71,OCEAN VIEW BL,S 36TH ST,OLIVEWOOD TR,Good,20140811,1924,OCEAN VIEW BL,OLIVEWOOD TER,0,A,4,A,08,A,A,H
5370,69,MAIN ST,S 27TH ST,S 28TH ST,Fair,20140808,1223,MAIN ST,SOUTH 28TH ST,0,A,4,A,09,A,A,H
5371,87.97,VILLAGE RIDGE RD,SCRIPPS CREEK DR,IVY HILL DR,Good,20140808,1709,VILLAGE RIDGE RD,IVY HILL DR,0,-,4,A,12,-,-,-
5372,39,GEORGIA ST,GEORGIA CT,ROBINSON AV,Poor,20140808,0845,GEORGIA ST,ROBINSON AV,0,B,4,A,08,A,A,H
5373,33.21,03RD AV,J ST,ISLAND AV,Poor,20140804,2127,03RD,ISLAND,0,A,3,A,10,C,A,H
5374,69,MISSION GORGE RD,GREENBRIER AV,OLD CLIFFS RD,Fair,20140807,1017,MISSION GORGE RD,OLD CLIFFS RD,0,A,3,A,09,A,A,H
5375,54.86,CASS ST,GRAND AV,HORNBLEND ST,Fair,20140811,0230,CASS ST,GRAND AV,0,A,4,A,08,C,A,H
5376,31.45,ASH ST,03RD AV,04TH AV,Poor,20140810,0854,ASH ST,04TH AV,0,A,3,A,12,A,A,H
5377,38.07,PARK BL,C ST,B ST,Poor,20140804,1205,PARK BL,B ST,0,A,4,A,12,A,A,H
5378,50.76,WASHINGTON ST,SR-163 NB ON RA,RICHMOND ST,Fair,20140731,1936,WASHINGTON,RICHMOND,0,A,3,A,08,A,A,H
5379,69,S EUCLID AV,EUCLID PL,LA PAZ DR,Fair,20140718,1452,EUCLID AV,1700 EUCLID AV,0,A,4,A,03,A,A,H
5380,87.37,30TH ST,QUINCE ST,REDWOOD ST,Good,20140712,2337,30TH ST,REDWOOD ST,0,A,2,A,09,D,A,H
5381,39.91,KEARNY MESA RD,CONVOY ST,OTHELLO AV,Poor,20140805,1546,KEARNY MESA RD,CONVOY ST,0,A,4,A,03,A,A,H
